Id,Time[ns],1:I²C: Address/Data
823,5502380000.00,Data read: 00
824,5502575000.00,ACK
825,5502607500.00,Data read: 00
826,5502802500.00,ACK
827,5502837500.00,Data read: 00
828,5503030000.00,ACK
829,5503065000.00,Data read: 00
830,5503260000.00,ACK
831,5503295000.00,Data read: 00
832,5503487500.00,ACK
833,5503522500.00,Data read: 00
834,5503717500.00,ACK
835,5503750000.00,Data read: 00
836,5503945000.00,ACK
837,5503980000.00,Data read: 00
838,5504175000.00,ACK
839,5504207500.00,Data read: 00
840,5504402500.00,ACK
841,5504437500.00,Data read: 00
842,5504632500.00,ACK
843,5504665000.00,Data read: 00
844,5504860000.00,ACK
845,5504892500.00,Data read: 00
846,5505087500.00,ACK
847,5505122500.00,Data read: 00
848,5505315000.00,ACK
849,5505350000.00,Data read: 00
850,5505545000.00,ACK
851,5505577500.00,Data read: 00
852,5505772500.00,ACK
853,5505807500.00,Data read: 00
854,5506000000.00,ACK
855,5506035000.00,Data read: 00
856,5506230000.00,ACK
857,5506262500.00,Data read: 00
858,5506457500.00,ACK
859,5506492500.00,Data read: 00
860,5506685000.00,ACK
861,5506720000.00,Data read: 00
862,5506915000.00,ACK
863,5506947500.00,Data read: 00
864,5507142500.00,ACK
865,5507177500.00,Data read: 00
866,5507372500.00,ACK
867,5507405000.00,Data read: 00
868,5507600000.00,ACK
869,5507632500.00,Data read: 00
870,5507827500.00,ACK
871,5507862500.00,Data read: 00
872,5508055000.00,ACK
873,5508090000.00,Data read: 00
874,5508285000.00,ACK
875,5508317500.00,Data read: 00
876,5508512500.00,ACK
877,5508547500.00,Data read: 00
878,5508742500.00,ACK
879,5508775000.00,Data read: 00
880,5508970000.00,ACK
881,5509002500.00,Data read: 00
882,5509197500.00,ACK
883,5509232500.00,Data read: 00
884,5509427500.00,ACK
885,5509460000.00,Data read: 00
886,5509655000.00,ACK
887,5509690000.00,Data read: 00
888,5509882500.00,ACK
889,5509917500.00,Data read: 00
890,5510112500.00,ACK
891,5510145000.00,Data read: 00
892,5510340000.00,ACK
893,5510375000.00,Data read: 00
894,5510567500.00,ACK
895,5510602500.00,Data read: 00
896,5510797500.00,ACK
897,5510830000.00,Data read: 00
898,5511025000.00,ACK
899,5511060000.00,Data read: 00
900,5511252500.00,ACK
901,5511287500.00,Data read: 00
902,5511482500.00,ACK
903,5511515000.00,Data read: 00
904,5511710000.00,ACK
905,5511745000.00,Data read: 00
906,5511940000.00,ACK
907,5511972500.00,Data read: 00
908,5512167500.00,ACK
909,5512200000.00,Data read: 00
910,5512395000.00,ACK
911,5512430000.00,Data read: 00
912,5512622500.00,ACK
913,5512657500.00,Data read: 00
914,5512852500.00,ACK
915,5512885000.00,Data read: 00
916,5513080000.00,ACK
917,5513115000.00,Data read: 00
918,5513307500.00,ACK
919,5513342500.00,Data read: 00
920,5513537500.00,ACK
921,5513570000.00,Data read: 60
922,5513765000.00,ACK
923,5513800000.00,Data read: 13
924,5513995000.00,ACK
925,5514027500.00,Data read: 00
926,5514222500.00,ACK
927,5514255000.00,Data read: 00
928,5514450000.00,ACK
929,5514485000.00,Data read: A4
930,5514680000.00,ACK
931,5514712500.00,Data read: FD
932,5514907500.00,ACK
933,5514942500.00,Data read: 10
934,5515135000.00,ACK
935,5515170000.00,Data read: 41
936,5515365000.00,ACK
937,5515397500.00,Data read: FF
938,5515592500.00,ACK
939,5515625000.00,Data read: 01
940,5515820000.00,ACK
941,5515855000.00,Data read: 60
942,5516050000.00,ACK
943,5516082500.00,Data read: 00
944,5516277500.00,ACK
945,5516312500.00,Data read: 11
946,5516505000.00,ACK
947,5516540000.00,Data read: 00
948,5516735000.00,ACK
949,5516767500.00,Data read: 00
950,5516962500.00,ACK
951,5516997500.00,Data read: 00
952,5517192500.00,ACK
953,5517225000.00,Data read: 00
954,5517420000.00,ACK
955,5517452500.00,Data read: 00
956,5517647500.00,ACK
957,5517682500.00,Data read: 00
958,5517875000.00,ACK
959,5517910000.00,Data read: 00
960,5518105000.00,ACK
961,5518137500.00,Data read: F0
962,5518332500.00,ACK
963,5518367500.00,Data read: 00
